img,rank,rating,numReviews,cost,name,type,address,business_id,categories
['www.Sakana Sushi & Grill.com', '63', '4.0', '347', '10.2', 'Sakana Sushi & Grill', '6989 N Hayden Rd', ' Ste A12', 'QS3QxI7u5PRdtbGgI0-UsA', 'Asian Fusion; Restaurants; Seafood; Sushi Bars; Japanese']
['www.Noodles Ranch.com', '39', '4.0', '457', '25.0', 'Noodles Ranch', '2765 N Scottsdale Rd', ' Ste 107', 'AMN3Sgns9tB2x-b3eWk0qQ', 'Vietnamese; Restaurants']
['www.Pho Lyn.com', '32', '4.0', '9', '13.2', 'Pho Lyn', '150 Crowfoot Crescent NW', ' Suite 311', 'bnfki4LDbHBzZdL5BoLDDw', 'Vietnamese; Coffee & Tea; Restaurants; Food']
['www.Noobox.com', '29', '2.0', '8', '25.5', 'Noobox', '159 Rue Saint-Antoine O', ' Suite 118', 'uHSmRkzznq0GpWXWuvzuhw', 'Restaurants; Fast Food; Noodles']
['www.Baskin-Robbins.com', '82', '2.5', '26', '10.4', 'Baskin-Robbins', '15530 W Roosevelt St', ' Ste E105', '221yaXPE1zmJqDvBVM__tw', 'American (Traditional); Ice Cream & Frozen Yogurt; Food; Restaurants']
['www.The Turnhouse Grille.com', '90', '4.5', '102', '19.4', 'The Turnhouse Grille', '1600 E Woodlawn Rd', ' Ste 100', 'RGK23CEkDfYHWtUbRhA-bQ', 'Burgers; Restaurants; American (New); Bars; American (Traditional); Nightlife']
['www.Yao Fine Chinese Cuisine.com', '52', '4.0', '200', '22.7', 'Yao Fine Chinese Cuisine', '2487 S Gilbert Rd', ' Ste 102', 'cmsAFAymfVoBitSF8R6GKw', 'Chinese; Restaurants']
['www.Subway.com', '86', '2.0', '13', '25.1', 'Subway', '10659 Grand Ave', ' Ste 2', 'ol2r325YnfuHcq7yeO3vdg', 'Sandwiches; Fast Food; Restaurants']
['www.Bomberos Cafe & Wine Bar.com', '50', '4.0', '135', '29.0', 'Bomberos Cafe & Wine Bar', '8801 N Central Ave', ' Ste 104', 'tcT3oHh_dwi_FYhozw3Ibw', 'Nightlife; Latin American; Wine Bars; Restaurants; Bars; Lounges']
["www.Sammy's World's Greatest Pizza - Braeside Location.com", '41', '4.0', '11', '11.0', "Sammy's World's Greatest Pizza - Braeside Location", '11440 Braeside Drive SW', ' Bay 30', 'PE6zjI3g0iscqUixA0VZpA', 'Pizza; Restaurants']
['www.S & V Urban Italian.com', '68', '4.0', '105', '24.3', 'S & V Urban Italian', '9343 E Shea Blvd', ' Ste 100', 'ILA41PhErg4bl1royzDX4g', 'Nightlife; Bars; Restaurants; Wine Bars; Pizza; Italian']
['www.Even Stevens Sandwiches.com', '47', '4.5', '213', '29.5', 'Even Stevens Sandwiches', '384 N Gilbert Rd', ' Ste 104', 'HFDZeMrm13xX5yJvpaRaIQ', 'Gluten-Free; Breakfast & Brunch; Sandwiches; Restaurants; Salad']
['www.La Vida Cocoa Craft Bakery & Cafe.com', '78', '3.5', '7', '23.3', 'La Vida Cocoa Craft Bakery & Cafe', '398 Steeles Avenue W', ' Unit 9', 'PvAARwsGKb9BcytkxtNqJQ', 'Gluten-Free; Food; Bakeries; Restaurants; Vegan; Cafes']
['www.Shabu Shabu Paradise.com', '55', '4.5', '248', '21.2', 'Shabu Shabu Paradise', '1716 W Horizon Ridge Pkwy', ' Ste 110', '1nF8Me63cpxIkFK8Ysx-DA', 'Fondue; Japanese; Restaurants']
['www.Panda Express.com', '68', '2.0', '3', '21.8', 'Panda Express', '5000 S Arizona Mills Cir', ' Ste 645', 'M9N2eaO8PkT7MHGLLA6V3Q', 'Restaurants; Fast Food; Chinese']
['www.Bar Charlie.com', '41', '5.0', '14', '12.0', 'Bar Charlie', 'The Palazzo Hotel', ' 3325 Las Vegas Blvd S', 'gFjHMjQXn5pbObxJupiuPA', 'Japanese; Restaurants']
['www.Roots Cafe.com', '45', '4.0', '104', '21.7', 'Roots Cafe', '2135 Southend Dr', ' Ste 109', 'CGUK3cd2gxp2q3KPY19Oog', 'Breakfast & Brunch; Restaurants; Coffee & Tea; Cafes; Food']
['www.Teriwoki.com', '75', '3.5', '4', '24.0', 'Teriwoki', '9500 S Eastern Ave', ' Ste 150', 'X3s0BN02lS6EigSnJaSyDw', 'Restaurants; Food; Do-It-Yourself Food; Chinese; Asian Fusion']
['www.Don Patron.com', '89', '4.0', '48', '17.4', 'Don Patron', '9800 State Rt 14', ' Ste E', 'vrSJPjntzfCPgogFPSCHiA', 'Mexican; Food; Ethnic Food; Restaurants; Specialty Food; Imported Food']
['www.Deli Pizza Cafe.com', '43', '3.0', '29', '22.6', 'Deli Pizza Cafe', '8480 S Las Vegas Blvd', ' Ste 110', 'DZkVWxknDUuWX0-wmtGhQw', 'Delis; Restaurants; Sandwiches; Pizza']
['www.Thai Fusion Delight.com', '40', '4.5', '30', '26.4', 'Thai Fusion Delight', '601 17 Avenue SW', ' Unit 105', 'Yw-R7D38MuDFNNcL6i-0Ww', 'Restaurants; Thai']
["www.Mornin' Moonshine.com", '94', '4.5', '14', '28.9', "Mornin' Moonshine", '111 West Monroe St', ' Ste 111', 'P-na-PyTJTL-uZ15vEg6zA', 'Coffee & Tea; Food; Cafes; Restaurants']
['www.Panafest.com', '14', '3.0', '5', '29.3', 'Panafest', '2708 Jane Street', ' Unit 5', 'COExayvsDDJOjWTOFZ7a4A', 'African; Bars; Restaurants; Nightlife']
['www.The Cove Trattoria.com', '13', '4.0', '170', '26.1', 'The Cove Trattoria', '7001 N Scottsdale Rd', ' Ste 184', '0WAL6O1YvcJbeDRYeRm34w', 'Pizza; Restaurants; Italian']
['www.Shalom India.com', '8', '3.5', '3', '28.8', 'Shalom India', '7700 Bathurst Street', ' Unit 12', 'q-DeyxfDo3AFjmghv5Gm1g', 'Restaurants; Indian; Kosher']
['www.Prince Restaurant.com', '63', '4.0', '35', '24.2', 'Prince Restaurant', '6795 W Flamingo Rd', ' Ste A', 'tk7__jHNlFMsfShjv5CJNQ', 'American (Traditional); Modern European; Ukrainian; Burgers; Barbeque; Imported Food; Mediterranean; Specialty Food; Food; Ethnic Food; Restaurants']
['www.Daisy Mountain Coffee Roasters.com', '64', '4.0', '81', '29.2', 'Daisy Mountain Coffee Roasters', '3170 W Carefree Hwy', ' Ste 7', 'qjuxlHtv_woIw9zPVWri5A', 'Sandwiches; Restaurants; Breakfast & Brunch; Coffee & Tea; Internet Cafes; Food']
["www.Jimmy & Joe's Pizzeria.com", '65', '3.5', '140', '11.3', "Jimmy & Joe's Pizzeria", '3950 W Ray Rd', ' Ste 1', 'lyzrJAx85KdCQzZq8LSPMA', 'Pizza; Restaurants']
['www.The Good Egg - Carefree.com', '64', '4.0', '47', '15.0', 'The Good Egg - Carefree', '34422 N Scottsdale Rd', ' Ste 110', 'YrVoo51-y4jMxpZh-kPRfw', 'Breakfast & Brunch; Diners; Restaurants']
['www.King Wok.com', '88', '4.0', '128', '17.4', 'King Wok', '860 E Warner Rd', ' Ste 102', 'tK-PQOhZo94fonbQVXaOSg', 'Chinese; Restaurants']
['www.Sagano.com', '24', '3.0', '25', '21.5', 'Sagano', '2035 Kennedy Road', ' 14th Floor', 'VcZQXpk6vYAXwemOrC9PTw', 'Japanese; Restaurants']
['www.Go Wild Sushi & Grill.com', '87', '3.5', '53', '12.0', 'Go Wild Sushi & Grill', '7293 W Sahara', ' Ste 4', '8bZ49zy4KlFVu5teFETYhQ', 'Japanese; Sushi Bars; Restaurants']
["www.Jun's Korean Restaurant.com", '85', '3.5', '292', '14.2', "Jun's Korean Restaurant", '8826 S Eastern Ave', ' Ste 113', 'SAfuIUZMXrOnb3LWyvYjDA', 'Korean; Restaurants']
['www.Saluf - The Hummus Place.com', '64', '4.0', '15', '10.6', 'Saluf - The Hummus Place', '219 Connie Crescent', ' Suite 5A', 'aHMAZ634rfYT7M-YjYdd3g', 'Middle Eastern; Restaurants']
['www.Hero Certified Burgers - Colossus.com', '97', '3.5', '22', '27.5', 'Hero Certified Burgers - Colossus', '21 Famous Ave', ' Unit 1A', 'RAK0Vt97pl0DpsqbJa04jg', 'Burgers; Restaurants']
['www.Takara 88.com', '85', '4.0', '66', '14.9', 'Takara 88', '1900 Cayuga St', ' Ste 101', 'VUbACJQR-_dVwyPYMFSodg', 'Bars; Nightlife; Japanese; Sushi Bars; Lounges; Restaurants; Asian Fusion']
['www.Drupatis Doubles & Roti Shop.com', '32', '4.0', '27', '23.1', 'Drupatis Doubles & Roti Shop', '10671 Chinguacousy Road', ' Unit 10A', 'QBfiXxrvHtFNUQhKcLt36Q', 'Restaurants; Caribbean; Halal']
['www.Lomi Poki.com', '90', '4.5', '55', '28.4', 'Lomi Poki', '15577 N Hayden Rd', ' Ste c103', 'bGno_WKbepp48eqgUfRHMA', 'Food; Hawaiian; Salad; Restaurants; Seafood; Sushi Bars; Asian Fusion; Poke']
["www.Tott's Asian Diner.com", '32', '4.0', '416', '24.7', "Tott's Asian Diner", '4030 W Ray Rd', ' Ste 1', 'sQ6DZZLLJRfwUr0eDWKDDg', 'Restaurants; Chinese; Asian Fusion']
['www.Einstein Bros Bagels.com', '14', '2.5', '82', '11.4', 'Einstein Bros Bagels', '7291 S Eastern Ave', ' Ste A', 'W3ia8dkoGGRYEfFg_BiyPg', 'Restaurants; Pizza; Food; Bagels; Sandwiches; Breakfast & Brunch']
['www.Jade Fine Chinese Dining.com', '2', '2.5', '10', '26.1', 'Jade Fine Chinese Dining', '34455 N 27 Dr', ' Ste D 160-162', 'amuNjN2yc_0HRgbMH5UlKw', 'Chinese; Beer; Wine & Spirits; Restaurants; Food']
['www.TYN Lounge- The Yellow Nectarine.com', '36', '3.5', '8', '10.1', 'TYN Lounge- The Yellow Nectarine', '815 8 Avenue SW', ' Suite 100', '_kuygM-Ha1-Jq_mqHk4Ewg', 'Food; Bars; American (Traditional); Restaurants; Nightlife; Lounges']
['www.Wing King.com', '27', '4.5', '36', '11.6', 'Wing King', 'Adrenaline Sports Bar & Grill', ' 3103 N Rancho Dr', 'e1DfwqDhYQYLKoyHmJu0hQ', 'Restaurants; Chicken Wings']
['www.Tandori Indian Cuisine.com', '83', '1.5', '8', '27.0', 'Tandori Indian Cuisine', '317 7 Ave SW', ' Level 4', 'USGHcJS_Qpw32ngZEXrG_Q', 'Indian; Restaurants; Food']
['www.Firehouse Subs.com', '72', '3.0', '24', '22.5', 'Firehouse Subs', '2290 E Franklin Blvd', ' Ste 100', '5Novl6V4g5TV4ATFPElsYQ', 'Restaurants; Fast Food; Burgers; Delis; Sandwiches']
['www.Little Caesars.com', '19', '3.0', '12', '22.4', 'Little Caesars', '16605 E Palisades Blvd', ' Ste 102', 'n-m449doCYEPAb5ux3dmVg', 'Restaurants; Pizza']
["www.Michelle's Place.com", '33', '3.0', '20', '14.8', "Michelle's Place", '144 N Court St', ' Ste B', 'ORloM7z9R9eh-G-an5DQLA', 'Desserts; American (New); Restaurants; American (Traditional); Sandwiches; Breakfast & Brunch; Food']
['www.AQUA e VINO.com', '42', '4.5', '48', '20.4', 'AQUA e VINO', '4219 Providence Rd', ' Ste 3', 'bJ44rSxMNTAAF_WGI_jDEw', 'Italian; Restaurants']
["www.Fionn MacCool's Irish Pub.com", '77', '3.5', '24', '18.7', "Fionn MacCool's Irish Pub", '261055 Crossiron Blvd', ' Unit 512', 'Zpydi0JmOp3XXL5hDGALXg', 'Restaurants; Irish; Nightlife; Arts & Entertainment; Food; Music Venues; Gastropubs; Beer; Wine & Spirits; Canadian (New); Bars']
['www.7 Skewers.com', '61', '4.5', '15', '23.4', '7 Skewers', '448 Holland Street W', ' Unit 1', '-v9l-ObDuay9gN5sZXRP5w', 'Restaurants; Mediterranean']
['www.Fortune Chinese Restaurant.com', '91', '3.5', '24', '13.5', 'Fortune Chinese Restaurant', '3909 W Sahara Ave', ' Ste 9', '2xbxXWeu3tpZEJdGTTGbLg', 'Restaurants; Chinese']
['www.Dolce Ristorante.com', '26', '3.5', '166', '21.3', 'Dolce Ristorante', '1710 Kenilworth Ave', ' Ste 203', 'YzMUZjUMcgI-NSGu48-nIQ', 'Nightlife; Desserts; American (New); Food; Wine Bars; Bars; Restaurants; Italian']
['www.Shanghai Palace Restaurant.com', '1', '3.0', '17', '13.4', 'Shanghai Palace Restaurant', '5149 Country Hills Boulevard NW', ' Unit 520', 'l1DtLtgI2hlGNMBSkk5sXg', 'Chinese; Restaurants']
['www.Waffles Cafe.com', '46', '4.0', '333', '21.9', 'Waffles Cafe', '6885 Aliante Pkwy', ' Ste 103', 'hqtZ2NmUlrNtHp7xW2BWoA', 'Breakfast & Brunch; Bubble Tea; Restaurants; Cafes; Food; Juice Bars & Smoothies']
['www.Niwan Rolls King.com', '35', '3.0', '12', '18.8', 'Niwan Rolls King', '3260 Midland Avenue', ' Unit F101 & 102', 'yWwIUmeenyAO7nwc7U0U5A', 'Restaurants; Chinese']
['www.Fuego Taco Shop.com', '56', '4.5', '143', '18.7', 'Fuego Taco Shop', '2948 E Bell Rd', ' Ste 102', 'yb7ZtgMWSZboG_sSUx9g2A', 'Food; Mexican; Restaurants']
['www.Origin India Las Vegas.com', '65', '3.5', '402', '12.6', 'Origin India Las Vegas', '4480 Paradise Rd', ' Ste 1200', 'ohz8ljVxcZMo2bMGrBZfgw', 'Vegetarian; Nightlife; Indian; Salad; Pakistani; Kosher; Restaurants; Bars']
['www.Squid Ink.com', '61', '4.0', '121', '19.7', 'Squid Ink', '7318 E Shea Blvd', ' Ste 101', 'CDpoJiqgM04wqQTZ6QkTqQ', 'Nightlife; Bars; Restaurants; Japanese; Sushi Bars; American (New)']
['www.Marigold Maison- Paradise Valley.com', '21', '4.0', '497', '12.4', 'Marigold Maison- Paradise Valley', '4720 E Cactus Rd', ' Ste D118', 'iE71iwcSljg3xm2GB2Y9aA', 'Indian; Restaurants']
['www.Soho Cafe Chinese Cuisine & Bar.com', '14', '3.5', '3', '21.2', 'Soho Cafe Chinese Cuisine & Bar', '4350 Main St', ' Ste 105', 'bdxdcvC63LimiFGnh1-JUw', 'Restaurants; Chinese']
['www.Takopa.com', '58', '4.0', '51', '25.9', 'Takopa', '4215 Spring Mountain Rd', ' Ste B106A', 'bZs7FJ7fHIJxVecfp1qvug', 'Ramen; Restaurants; Japanese; Tapas/Small Plates; Fast Food']
['www.Fox & Hound English Pub & Grille.com', '13', '2.0', '26', '21.0', 'Fox & Hound English Pub & Grille', '8000 McKnight Rd', ' Ste 2002', '0VDcJitRHh5uJnkjymu_6A', 'American (Traditional); Nightlife; Pubs; Bars; Restaurants']
["www.Ricky's All Day Grill.com", '84', '3.5', '7', '13.3', "Ricky's All Day Grill", '606 ', ' 12101 Lake Fraser Drive SE', 'ig5JgcXT2Q34YzrFmyngvg', 'American (New); Restaurants; Canadian (New); Food; Diners']
['www.Happy Garden.com', '55', '3.0', '14', '22.2', 'Happy Garden', '3725 Medina Rd', ' Ste 103', 'YAhRuV3oRkwGk3Or9PJ3Ww', 'Food; Chinese; Restaurants; Seafood; Poke']
['www.Adaptive Force Performing Arts.com', '78', '4.0', '13', '17.8', 'Adaptive Force Performing Arts', '32619 N Scottsdale Rd', ' Ste 110', '4P0X_Mfb0HEmvXR47w_xWg', 'Active Life; Dance Studios; Pizza; Performing Arts; Fitness & Instruction; Restaurants; Arts & Entertainment']
['www.Pho Thanh Huong.com', '28', '4.0', '481', '11.0', 'Pho Thanh Huong', '1131 E Tropicana Ave', ' Ste D', 'GMrwDXRlAZU2zj5nH6l4vQ', 'Vietnamese; American (New); Restaurants; Sandwiches']
['www.Tandoori Tonite.com', '93', '4.5', '20', '14.1', 'Tandoori Tonite', '15A Fisherman Dr', ' Unit 6', 'U8tIgXZ0T--8ZNEVoDap0g', 'Restaurants; Pakistani; Indian; Halal; Afghan']
['www.Scapegoat Beer and Wine.com', '23', '4.5', '151', '22.2', 'Scapegoat Beer and Wine', '7150 E 5th Ave', ' Ste 100', 'CTJnbFKMq7Nv7xnLmjgOyg', 'American (New); Nightlife; Bars; Restaurants; Wine Bars; Beer Bar']
['www.Fidelli Kitchen.com', '10', '3.5', '84', '20.8', 'Fidelli Kitchen', '1616 Camden Rd', ' Ste 100', 'tdo6JvAKwmMAKU8T5jfORw', 'Bars; Nightlife; Italian; Wine Bars; Restaurants']
["www.MPJ's Grill.com", '18', '3.5', '7', '18.4', "MPJ's Grill", '15225 N Fountain Hills Blvd', ' Ste 104', 'A_eOsa1xKsOzN-3cZ8Tohw', 'American (New); Food; Restaurants']
['www.Which Wich.com', '4', '3.0', '49', '12.8', 'Which Wich', '20851 N Scottsdale Rd', ' Ste D-102', '0sE5o_dunOdUMvXVsaJSsA', 'Sandwiches; Restaurants']
['www.Deemos American Grill.com', '51', '2.0', '20', '21.4', 'Deemos American Grill', '2501 E Camelback Rd', ' Ste 30', '6tl_UiTs8uqZO3iSfdMZmA', 'Restaurants; American (Traditional)']
['www.Bertolucci Brazilian Steakhouse.com', '93', '2.5', '258', '26.2', 'Bertolucci Brazilian Steakhouse', '2895 N Green Valley Pkwy', ' Ste A', 'Bs_AR85Lm4eiHXAfeaKnVA', 'Steakhouses; Salad; Brazilian; Restaurants']
['www.Pita Kitchen - Arrowhead.com', '13', '4.5', '167', '21.2', 'Pita Kitchen - Arrowhead', '20221 N 67th Ave', ' Ste E-7', 'Q8GBjqGjamI3b2ZaPQNa_Q', 'Mediterranean; Greek; Restaurants; Vegetarian']
['www.1 Brothers Pizza.com', '90', '4.0', '61', '20.8', '1 Brothers Pizza', '11435 W Buckeye Rd', ' Ste A104', 'gWY94C5EgNClUOwqJXrBGg', 'Pizza; Restaurants']
["www.Philly's Famous.com", '66', '4.5', '444', '13.6', "Philly's Famous", '1250 N Alma School Rd', ' Ste 31', 'L9pTWWAATj7HoLaRe6ZA1Q', 'Cheesesteaks; Sandwiches; Restaurants; American (Traditional); Delis']
['www.Subway.com', '10', '2.0', '18', '20.1', 'Subway', '455 N 3rd St', ' Ste 1015', 'UXd3218Enn8Lt5csBxwC8g', 'Fast Food; Sandwiches; Restaurants']
['www.Il Tetto:  A Rooftop Beer Garden.com', '94', '3.0', '77', '21.3', 'Il Tetto:  A Rooftop Beer Garden', '942 Penn Ave', ' Fl 3', 'R-GbmmHHfAyPo1qs4jo0TA', 'Italian; Restaurants; Bars; Nightlife; Beer Gardens']
['www.Annona Resturant.com', '65', '3.5', '69', '19.3', 'Annona Resturant', 'Park Hyatt Hotel', ' 4 Avenue Road', 'Fw0u5YqMSLXhmNevrCPBMg', 'American (New); Canadian (New); Restaurants']
['www.Tokyo Peking Asian Restaurants.com', '36', '5.0', '24', '10.9', 'Tokyo Peking Asian Restaurants', '750 East Pyle Ave', ' Ste 108-109', 'vfqUUh_5KF3R7mz2XiNXGg', 'Asian Fusion; Japanese; Sushi Bars; Restaurants']
["www.Max's Mukhaase.com", '55', '4.0', '47', '14.4', "Max's Mukhaase", '2160 N Alma School Rd', ' Ste 116', 'RtezzamKiC6Y607SJuqQIA', 'Restaurants; African']
['www.Cranberry Hills Eatery & Catering.com', '6', '3.5', '37', '22.5', 'Cranberry Hills Eatery & Catering', '3003 N Central Ave', ' Ste 118', 'R_6ZdYGyq7W1EE2fXML30w', 'Caterers; Coffee & Tea; Food; American (New); Cafes; Event Planning & Services; Restaurants; Breakfast & Brunch']
['www.Sam Woo BBQ Restaurant.com', '55', '2.0', '550', '17.1', 'Sam Woo BBQ Restaurant', '4215 Spring Mountain Rd', ' Ste B101', 'DVfCbJhJUDWRlUfrKzaKOA', 'Restaurants; Noodles; Barbeque; Chinese']
['www.Xawaash.com', '67', '4.0', '105', '27.4', 'Xawaash', '130 Queens Plate Drive', ' Unit 1', 'pTbkdBDDKxNVjKUZ_6RAug', 'Event Planning & Services; Caterers; Specialty Food; Restaurants; Halal; Internet Cafes; Mediterranean; Middle Eastern; African; Food']
['www.Bar Kada Avenue.com', '96', '3.0', '65', '24.2', 'Bar Kada Avenue', '2605 S Decatur Blvd', ' Ste 120-122', 'DUeqWfBI90UBR6xSYQO3uw', 'Specialty Food; Street Vendors; Filipino; Asian Fusion; Food; Nightlife; Restaurants; Karaoke; Ethnic Food; Bars; Beer; Wine & Spirits']
